Outcome,Precursors Included,Trials Included,Unit,Time Point (weeks),Change-score extraction method,SD derivation,Crossover handling,Endpoint Role
Fasting Blood Glucose,NMN & NR,Yoshino; Igarashi; Katayoshi; Morifuji; Conze; Brakedal,mg/dL,8-12,End-of-study paired values,Reported SD or converted from SE,Pre-washout first period only,Secondary
HbA1c,NMN & NR,Katayoshi; Morifuji; Brakedal,%,4.3-12,End-of-study paired values,Reported SD or converted from SE,First period only,Secondary
HOMA-IR,NMN & NR,Huang; Dollerup,Index,8.6-12,Mean change from baseline,Reported SD,Parallel trials,Secondary
Fasting Insulin,NMN & NR,Huang; Igarashi; Dollerup,uIU/mL,8.6-12,Mean change from baseline,Reported SD,Parallel trials,Secondary
Total Cholesterol,NMN & NR,Huang; Igarashi; Dollerup; Conze; Brakedal,mg/dL,4.3-12,Mean change from baseline,Reported SD,Pre-washout first period only,Secondary
LDL Cholesterol,NMN & NR,Huang; Igarashi; Morifuji; Dollerup; Conze; Brakedal,mg/dL,4.3-12,Mean change from baseline,Reported SD,PrLDL Cholesterol,NMN & NR,Huang; Igarashi; Morifuji; Dollerup; Conze; Brakedal,mg/dL,4.3-12,Mean change from baseline,Reported SD,PrLDL Cholesterol,NMN inLDL Cholesterol,NMN & NR,Huang; Igarashi; Morifuji; Dollerup; Conze; Brakedal,mg/dL,4.3-12,Mean change from baseline,Reported SD,PrLDL Cholesterol,NMN & NR,Huang; Igarashi; Morifuji; Dollerup; Conshout first period only,Secondary
ALT,NMN & NR,Huang; Igarashi; Katayoshi; Conze; Brakedal,U/L,4.3-12,End-of-study paired values,Reported SD or ALT,NMN & NR,Huang; Igarashi; Katayoshi; Conze; Brakedal,U/L,4.3-12,End-of-study paired values,Reported SD oakALT,NMN & NR,Huang; Igarashi; Katayoshi; Conze; Brakedal,U/L,4.3-12,End-of-study paired values,Reported SD or ALT,NMN & NR,HuanolALT,NMN & NR,Huang; Igarashi; Katayoshi; Conze; Brakedal,U/L,4mHg,8.6-12,End-of-study paired values,Reported SD,Parallel trials,Secondary
Diastolic BP,NMN & NR,Yoshino; Huang; Katayoshi; Morifuji; Dollerup,mmHg,8.6-12,End-of-study paired values,Reported SD,Parallel trials,Secondary
Body Weight,NMN & NR,Huang; Igarashi; Morifuji; Conze,kg,8-12,Mean change from baseline,Reported SD,Parallel trials,Secondary
BMI,NMN & NR,Yoshino; Igarashi; Katayoshi; Conze,kg/m2,8-12,Mean change from baseline,Reported SD,Parallel trials,Secondary
Blood NAD+,NMN & NR (not harmonizable),Huang (pmol/mL NAD+/NADH) vs Bandi (uM NAD+),Incompatible units,8.6,End-of-study vs Change from baseline,Reported SD,Parallel trials,Primary/Secondary
