Study,D1,D2,D3,D4,D5,Overall,Comments
Yoshino_2021,SC,L,L,SC,L,SC,n is small
Huang_2022,SC,L,L,L,SC,SC,
Igarashi_2022,L,SC,H,SC,SC,H,
Katayoshi_2023,L,L,SC,L,SC,SC,high dropout
Morifuji_2024,SC,L,SC,L,SC,SC,
Dollerup_2018,L,L,L,L,SC,SC,
Conze_2019,L,L,L,L,SC,SC,n is small
Elhassan_2019,SC,SC,L,SC,H,H,
Remie_2020,L,L,SC,L,SC,SC,
Brakedal_2022,L,L,SC,L,SC,SC,
Ahmadi_2023,SC,SC,L,SC,SC,SC,sponsor bias?
Norheim_2024,L,SC,L,L,SC,SC,
Orr_2024,SC,L,L,L,SC,SC,
Lin_2025,SC,L,L,L,SC,SC,
Bandi_2025,L,L,SC,L,SC,SC,sponsor bias?
