study_id,precursor,author,year,n_total,n_treatment,n_placebo,dose_mg,all_doses,duration_weeks,design,population,country,age_mean,age_sd,pct_female,bmi_baseline
Irie_2020,NMN,Irie,2020,35,,,,,,placebo-controlled,healthy; obese; diabetic,Japan; USA,,,,
Yoshino_2021,NMN,Yoshino,2021,13,13,12,250,250,10,double-blind; placebo-controlled,healthy; obese; prediabetic; diabetic,Japan; USA; United States,,,,
Huang_2022,NMN,Huang,2022,66,,31,500,250; 500,10,parallel; double-blind; placebo-controlled,healthy; elderly,United States; China; Norway; Australia,,,,
Igarashi_2022,NMN,Igarashi,2022,,21,21,2000,200; 250; 2000,12,parallel; crossover; double-blind; placebo-controlled,healthy; obese; prediabetic; diabetic; elderly,,,,,
Kim_2022,NMN,Kim,2022,108,,,1200,250; 300; 400; 600; 1200,12,parallel; double-blind; placebo-controlled,elderly,Japan,,,,
Katayoshi_2023,NMN,Katayoshi,2023,36,18,18,1000,250; 1000,12,parallel; double-blind; placebo-controlled,healthy; prediabetic; diabetic; elderly,Japan,,,,
Morifuji_2024,NMN,Morifuji,2024,60,30,30,900,250; 900,12,parallel; double-blind; placebo-controlled,healthy; elderly,Japan,,,,
Yamaguchi_2024,NMN,Yamaguchi,2024,28,9,,900,250; 300; 340; 900,8,parallel; double-blind; placebo-controlled,healthy; obese; diabetic; elderly,Japan,,,,
Dollerup_2018,NR,Dollerup,2018,12,20,20,2000,1000; 2000,,parallel; double-blind; placebo-controlled,healthy; obese; diabetic,Denmark,,,,
Conze_2019,NR,Conze,2019,100,2,35,1000,50; 100; 300; 900; 1000,6,parallel; crossover; double-blind; placebo-controlled,healthy; obese; diabetic,United States,,,,
Elhassan_2019,NR,Elhassan,2019,,,,,,,crossover; double-blind; placebo-controlled,healthy; diabetic; elderly,USA; Australia; UK,,,,
Dollerup_2019b,NR,Dollerup,2019,40,,,2000,2000,12,parallel; crossover; double-blind; placebo-controlled,obese; diabetic,USA; Denmark,,,,
Remie_2020,NR,Remie,2020,6,,,2000,100; 1000; 2000,,parallel; crossover; double-blind; placebo-controlled,healthy; obese,USA; Netherlands; Germany,,,,
NAFLD_2020,NR,Zeybel,2020,186,,35,1000,1000,12,,obese; diabetic; NAFLD,,,,,
Brakedal_2022,NR,Brakedal,2022,6,15,15,,,,parallel; double-blind; placebo-controlled,healthy; Parkinsons,USA; Norway,62.9,8.6,,
Ahmadi_2023,NR,Ahmadi,2023,10,,25,200,200,6,crossover; double-blind; placebo-controlled,obese; diabetic; CKD; NAFLD,USA,61.0,11.6,40,
Dellinger_2023,NR,Dellinger,2023,120,,31,,,26,parallel; double-blind; placebo-controlled,obese; diabetic; NAFLD,USA; Canada,,,,
Norheim_2024,NR,Norheim,2024,29,20,20,,,6,double-blind; placebo-controlled,healthy; COPD; Parkinsons,,,,,
Ahmadi_2024,NR,Ahmadi,2024,10,,,1200,300; 1000; 1200,1,parallel; crossover; double-blind; placebo-controlled,diabetic; CKD; NAFLD,USA,61.0,11.0,40,
Orr_2024,NR,Orr,2024,10,10,10,750,250; 500; 750,1,double-blind; placebo-controlled,elderly,USA,,,,
Lin_2025,NR,Lin,2025,6,19,,1000,1000,6,double-blind; placebo-controlled,elderly,USA,,,61,
Bandi_2025,NR,Bandi,2025,140,3,34,,,,parallel; crossover; double-blind; placebo-controlled,healthy,India,60.09,4.2,,
Ahmadi_2025,NR,Ahmadi,2025,12,,,1200,300; 1000; 1200,20,parallel; crossover; double-blind; placebo-controlled,diabetic; CKD,,,,40,
