record_num,id,precursor,decision,reason,source,title,authors,year,journal,doi,pmid,link,exclusion_reason,pdf_file,fulltext_note
4,41540253,none,EXCLUDE,No NMN/NR,abstract,The differential impact of three different NAD(+) boosters on circulatory NAD and  microbial metabolism in humans.,Christen S; Redeuil K; Goulet L...,2026,Nature metabolism,10.1038/s42255-025-01421-8,41540253,https://doi.org/10.1038/s42255-025-01421-8,,,
8,40943905,none,EXCLUDE,No NMN/NR,abstract,Next-Gen Neuroprotection in Glaucoma: Synergistic Molecules for Targeted Therapy.,Martucci A; Cesareo M; Pinazo-Duran MD...,2025,Journal of clinical medicine,10.3390/jcm14176145,40943905,https://doi.org/10.3390/jcm14176145,,,
16,39816194,none,EXCLUDE,No NMN/NR,title/abstract,"Multi-omics characterization of improved cognitive functions in Parkinson's  disease patients after the combined metabolic activator treatment: a randomized, double-blinded, placebo-controlled phase II trial.",Yulug B; Altay O; Li X...,2025,Brain communications,10.1093/braincomms/fcae478,39816194,https://doi.org/10.1093/braincomms/fcae478,,,
26,38811634,none,EXCLUDE,No NMN/NR,screening,"A randomized, controlled clinical trial demonstrates improved owner-assessed  cognitive function in senior dogs receiving a senolytic and NAD+ precursor combination.",Simon KE; Russell K; Mondino A...,2024,Scientific reports,10.1038/s41598-024-63031-w,38811634,https://doi.org/10.1038/s41598-024-63031-w,,,
35,37271226,none,EXCLUDE,No NMN/NR,abstract,The acute effect of different NAD(+) precursors included in the combined  metabolic activators.,Li X; Yang H; Jin H...,2023,Free radical biology & medicine,10.1016/j.freeradbiomed.2023.05.032,37271226,https://doi.org/10.1016/j.freeradbiomed.2023.05.032,,,
41,36740954,none,EXCLUDE,No NMN/NR,title/abstract,Nicotinamide Adenine Dinucleotide Augmentation in Overweight or Obese Middle-Aged  and Older Adults: A Physiologic Study.,Pencina KM; Valderrabano R; Wipper B...,2023,The Journal of clinical endocrinology and metabolism,10.1210/clinem/dgad027,36740954,https://doi.org/10.1210/clinem/dgad027,,,
61,34180141,none,EXCLUDE,No NMN/NR,title/abstract,Combined Metabolic Activators Accelerates Recovery in Mild-to-Moderate COVID-19.,Altay O; Arif M; Li X...,2021,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202101222,34180141,https://doi.org/10.1002/advs.202101222,,,
67,32758058,none,EXCLUDE,No NMN/NR,screening,Modulation of Energy Sensing by Leucine Synergy with Natural Sirtuin Activators:  Effects on Health Span.,Zemel MB,2020,Journal of medicinal food,10.1089/jmf.2020.0105,32758058,https://doi.org/10.1089/jmf.2020.0105,,,
79,25352640,none,EXCLUDE,No NMN/NR,abstract,Evidence for a direct effect of the NAD+ precursor acipimox on muscle  mitochondrial function in humans.,van de Weijer T; Phielix E; Bilet L...,2015,Diabetes,10.2337/db14-0667,25352640,https://doi.org/10.2337/db14-0667,,,
80,15203886,none,EXCLUDE,No NMN/NR,abstract screen,Nicotinamide effects oxidative burst activity of neutrophils in patients with  poorly controlled type 2 diabetes mellitus.,Osar Z; Samanci T; Demirel GY...,2004,Experimental diabesity research,10.1080/15438600490424244,15203886,https://doi.org/10.1080/15438600490424244,,,
