record_num,id,precursor,decision,reason,source,title,authors,year,journal,doi,pmid,link,pdf_file,fulltext_note,nma_status,nma_exclusion_reason
58,34326209,NMN,INCLUDE,RCT with NMN/NR vs placebo,abstract screen,"Response to Comment on ""Nicotinamide mononucleotide increases muscle insulin  sensitivity in prediabetic women"".",Klein S; Yoshino M,2021,"Science (New York, N.Y.)",10.1126/science.abj7375,34326209,https://doi.org/10.1126/science.abj7375,,,INCLUDED_NMA,
38,36797393,NMN,INCLUDE,NMN/NR RCT with metabolic outcomes,abstract screen,"Nicotinamide adenine dinucleotide metabolism and arterial stiffness after  long-term nicotinamide mononucleotide supplementation: a randomized, double-blind, placebo-controlled trial.",Katayoshi T; Uehata S; Nakashima N...,2023,Scientific reports,10.1038/s41598-023-29787-3,36797393,https://doi.org/10.1038/s41598-023-29787-3,,,INCLUDED_NMA,
76,29992272,NR,INCLUDE,RCT with NMN/NR vs placebo,screening,"A randomized placebo-controlled clinical trial of nicotinamide riboside in obese  men: safety, insulin-sensitivity, and lipid-mobilizing effects.",Dollerup OL; Christensen B; Svart M...,2018,The American journal of clinical nutrition,10.1093/ajcn/nqy132,29992272,https://doi.org/10.1093/ajcn/nqy132,,,INCLUDED_NMA,
73,31278280,NR,INCLUDE,RCT with NMN/NR vs placebo,title/abstract,"Safety and Metabolism of Long-term Administration of NIAGEN (Nicotinamide  Riboside Chloride) in a Randomized, Double-Blind, Placebo-controlled Clinical Trial of Healthy Overweight Adults.",Conze D; Brenner C; Kruger CL,2019,Scientific reports,10.1038/s41598-019-46120-z,31278280,https://doi.org/10.1038/s41598-019-46120-z,,,INCLUDED_NMA,
53,35235774,NR,INCLUDE,"RCT - NMN vs placebo, metabolic outcomes reported",abstract screen,The NADPARK study: A randomized phase I trial of nicotinamide riboside  supplementation in Parkinson's disease.,Brakedal B; Dolle C; Riemer F...,2022,Cell metabolism,10.1016/j.cmet.2022.02.001,35235774,https://doi.org/10.1016/j.cmet.2022.02.001,,,INCLUDED_NMA,
18,39548320,NR,INCLUDE,NMN/NR RCT with metabolic outcomes,title/abstract,"Effect of nicotinamide riboside on airway inflammation in COPD: a randomized,  placebo-controlled trial.",Norheim KL; Ben Ezra M; Heckenbach I...,2024,Nature aging,10.1038/s43587-024-00758-1,39548320,https://doi.org/10.1038/s43587-024-00758-1,,,INCLUDED_NMA,
21,39228730,NR,INCLUDE,Meets inclusion criteria,abstract,Randomized Crossover Clinical Trial of Nicotinamide Riboside and Coenzyme Q10 on  Metabolic Health and Mitochondrial Bioenergetics in CKD.,Ahmadi A; Valencia AP; Begue G...,2024,medRxiv : the preprint server for health sciences,10.1101/2024.08.23.24312501,39228730,https://doi.org/10.1101/2024.08.23.24312501,,,INCLUDED_NMA,
31,37994989,NR,INCLUDE,Meets inclusion criteria,abstract,A randomized placebo-controlled trial of nicotinamide riboside in older adults  with mild cognitive impairment.,Orr ME; Kotkowski E; Ramirez P...,2024,GeroScience,10.1007/s11357-023-00999-9,37994989,https://doi.org/10.1007/s11357-023-00999-9,,,INCLUDED_NMA,
9,40770531,NR,INCLUDE,Meets all criteria,abstract,Nicotinamide riboside combined with exercise to treat hypertension in middle-aged  and older adults: a pilot randomized clinical trial.,Lin Y; Zeidan RS; Lapierre-Nguyen S...,2025,GeroScience,10.1007/s11357-025-01815-2,40770531,https://doi.org/10.1007/s11357-025-01815-2,,,INCLUDED_NMA,
950,WOS:001631606300001,NR,INCLUDE,Eligible RCT,abstract screen,"Comparative efficacy of a standardized herbal composition LN22199, nicotinamide riboside, and their combination on NAD plus metabolism in healthy aging adults","Bandi, VK; Chundru, VK; Yarasani, A...",2025,JOURNAL OF FUNCTIONAL FOODS,10.1016/j.jff.2025.107115,001631606300001,https://doi.org/10.1016/j.jff.2025.107115,,,INCLUDED_NMA,
