record_num,id,reason,precursor,title,authors,year,journal,doi
1,41664134,In vivo animal,NR,"Effects of nicotinamide riboside supplementation during late gestation and  lactation on sow performance, milk metabolome, and gut microbiome.",Huang L; Yang X; Pan C...,2026,Journal of animal science and biotechnology,10.1186/s40104-025-01339-x
2,41655607,Review article,both,NAD(+) supplementation for anti-aging and wellness: a PRISMA-guided systematic  review of preclinical and clinical evidence.,Gallagher C; Emmanuel OO,2026,Ageing research reviews,10.1016/j.arr.2026.103057
3,41643453,Animal study,NMN,The combination of Anoectochilus roxburghii and Danggui-Niantong decoction  ameliorates hyperuricemia by regulating NAD(+) metabolism and urate transport in rats.,Li D; Tao Z; Xu H...,2026,Phytomedicine : international journal of phytotherapy and phytopharmacology,10.1016/j.phymed.2026.157822
10,40746868,Narrative review,NMN,Oral MIB-626 (beta Nicotinamide Mononucleotide) Safely Raises Blood Nicotinamide  Adenine Dinucleotide Levels in Hospitalized Patients With COVID-19 and Acute Kidney Injury: A Randomized Controlled Trial.,Pencina KM; Leaf DE; Valderrabano RJ...,2025,FASEB bioAdvances,10.1096/fba.2025-00014
12,40275690,Systematic review,both,The Effect of Nicotinamide Mononucleotide and Riboside on Skeletal Muscle Mass  and Function: A Systematic Review and Meta-Analysis.,Prokopidis K; Moriarty F; Bahat G...,2025,"Journal of cachexia, sarcopenia and muscle",10.1002/jcsm.13799
13,40069789,No relevant precursor,none,Pharmacokinetic and pharmacodynamic assessment of oral nicotinamide in the NEAT  clinical trial for early Alzheimer's disease.,Ketron GL; Grun F; Grill JD...,2025,Alzheimer's research & therapy,10.1186/s13195-025-01693-y
17,39703532,Wrong intervention,none,Nicotinic acid improves mitochondrial function and associated transcriptional  pathways in older inactive males.,Deane CS; Willis CRG; Gallagher IJ...,2024,Translational exercise biomedicine,10.1515/teb-2024-0030
19,39500416,No NMN or NR,none,Acute exercise boosts NAD(+) metabolism of human peripheral blood mononuclear  cells.,Walzik D; Joisten N; Schenk A...,2025,"Brain, behavior, and immunity",10.1016/j.bbi.2024.11.004
22,39221308,Literature review,NMN,Improved Physical Performance Parameters in Patients Taking Nicotinamide  Mononucleotide (NMN): A Systematic Review of Randomized Control Trials.,Wen J; Syed B; Kim S...,2024,Cureus,10.7759/cureus.65961
23,39185644,Review article,NMN,Effects of Nicotinamide Mononucleotide Supplementation on Muscle and Liver  Functions Among the Middle-aged and Elderly: A Systematic Review and Meta-analysis of Randomized Controlled Trials.,Wang JP; Wang L; Wang T...,2025,Current pharmaceutical biotechnology,10.2174/0113892010306242240808094303
24,39116016,Literature review,NMN,Efficacy of oral nicotinamide mononucleotide supplementation on glucose and lipid  metabolism for adults: a systematic review with meta-analysis on randomized controlled trials.,Zhang J; Poon ET; Wong SH,2025,Critical reviews in food science and nutrition,10.1080/10408398.2024.2387324
29,38100537,Not human,NMN,Nicotinamide mononucleotide alleviates endotoxin-induced acute lung injury by  modulating macrophage polarization via the SIRT1/NF-kappaB pathway.,He S; Jiang X; Yang J...,2024,Pharmaceutical biology,10.1080/13880209.2023.2292256
32,37854354,Review article,unclear,The effects of NAD+ precursor (nicotinic acid and nicotinamide) supplementation  on weight loss and related hormones: a systematic review and meta-regression analysis of randomized controlled trials.,Baichuan Y; Gomes Reis M; Tavakoli S...,2023,Frontiers in nutrition,10.3389/fnut.2023.1208734
34,37593976,Review article,unclear,"Effects of NAD+ precursors on blood pressure, C-reactive protein concentration  and carotid intima-media thickness: A meta-analysis of randomized controlled trials.",Lei L; Zhang X; Lin J...,2023,European journal of clinical investigation,10.1111/eci.14078
39,36792992,Review article,NMN,Blood levels of nicotinic acid negatively correlate with hearing ability in  healthy older men.,Nakagawa-Nagahama Y; Igarashi M; Miura M...,2023,BMC geriatrics,10.1186/s12877-023-03796-3
40,36787055,Animal model,NMN,Melatonin/nicotinamide mononucleotide/ubiquinol: a cocktail providing superior  cardioprotection against ischemia/reperfusion injury in a common co-morbidities modelled rat.,Mokhtari B; Hoilund-Carlsen PF; Chodari L...,2023,Molecular biology reports,10.1007/s11033-022-08189-0
42,36703196,Systematic review,NR,"Combined metabolic activators improve cognitive functions in Alzheimer's disease  patients: a randomised, double-blinded, placebo-controlled phase-II trial.",Yulug B; Altay O; Li X...,2023,Translational neurodegeneration,10.1186/s40035-023-00336-2
44,36482258,Literature review,NMN,"The efficacy and safety of beta-nicotinamide mononucleotide (NMN) supplementation in  healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",Yi L; Maier AB; Tao R...,2023,GeroScience,10.1007/s11357-022-00705-1
45,36361882,Preclinical,NR,Intravenous Nicotinamide Riboside Administration Has a Cardioprotective Effect in  Chronic Doxorubicin-Induced Cardiomyopathy.,Podyacheva E; N Yu N; V A V...,2022,International journal of molecular sciences,10.3390/ijms232113096
47,36002548,Review article,NMN,Safety evaluation of beta-nicotinamide mononucleotide oral administration in healthy  adult men and women.,Fukamizu Y; Uchida Y; Shigekawa A...,2022,Scientific reports,10.1038/s41598-022-18272-y
49,35854224,Literature review,NR,Exercise training and NR supplementation to improve muscle mass and fitness in  adolescent and young adult hematopoietic cell transplant survivors: a randomized controlled trial 1.,Song M; Armenian SH; Bhandari R...,2022,BMC cancer,10.1186/s12885-022-09845-1
50,35620522,Systematic review,NR,Nicotinamide Riboside Supplementation for Treating Elevated Systolic Blood  Pressure and Arterial Stiffness in Midlife and Older Adults.,Freeberg KA; Craighead DH; Martens CR...,2022,Frontiers in cardiovascular medicine,10.3389/fcvm.2022.881703
51,35479740,Literature review,NMN,Oral Administration of Nicotinamide Mononucleotide Is Safe and Efficiently  Increases Blood Nicotinamide Adenine Dinucleotide Levels in Healthy Subjects.,Okabe K; Yaku K; Uchida Y...,2022,Frontiers in nutrition,10.3389/fnut.2022.868640
52,35303905,Review/meta-analysis,both,Effects of NAD+ precursor supplementation on glucose and lipid metabolism in  humans: a meta-analysis.,Zhong O; Wang J; Tan Y...,2022,Nutrition & metabolism,10.1186/s12986-022-00653-9
