record,TN,BN,consensus,notes
73,?,unsure,include,discussed
53,?,unsure,include,discussed
18,?,unsure,include,discussed
9,?,unsure,include,discussed
835,?,unsure,include,discussed
48,?,unsure,include,agreed on zoom call
71,?,unsure,include,Bryan agreed after discussion
68,?,unsure,include,Bryan agreed after discussion
258,?,unsure,include,Bryan agreed after discussion
93,?,unsure,include,Bryan agreed after discussion
20,?,unsure,include,FAD settled it
977,N,unsure,exclude,discussed
1015,N,unsure,exclude,Bryan agreed after discussion
1075,N,unsure,exclude,discussed
1099,N,unsure,exclude,Bryan agreed after discussion
232,N,unsure,exclude,FAD settled it
486,N,unsure,exclude,Bryan agreed after discussion
