record_num,PMID,Year,Decision,Exclusion reason,Comments
58,34326209,2021,include,,
38,36797393,2023,include,,
76,29992272,2018,include,,
73,31278280,2019,unsure,,check w Tai
53,35235774,2022,include,,think this works
18,39548320,2024,include,,need to reread methods
21,39228730,2024,include,,
31,37994989,2024,include,,
9,40770531,2025,include,,might actually qualify?
950,WOS:001631606300001,2025,include,,
70,31685720,2020,include,,
835,CN-02253340,2021,unsure,,check w Tai
48,35927255,2022,include,,think this works
943,WOS:000769347500001,2022,include,,
27,38789831,2024,include,,
936,WOS:001141896900001,2024,include,,
71,31412242,2019,unsure,,check w Tai
72,31390002,2019,include,,
68,32320006,2020,unsure,,might actually qualify?
156,CN-02091265,2020,include,,
36,37159264,2023,include,,
46,36082508,2023,include,,
14,39847432,2025,include,,
258,CN-01969353,2019,include,,check w Tai
159,CN-02565422,2023,include,,
255,CN-02616656,2023,include,,straightforward
93,CN-02838583,2025,include,,ask Tai
317,CN-02901111,2025,include,,
349,CN-01796136,2019,include,,
193,CN-02467196,2022,include,,straightforward
131,CN-02599768,2023,include,,
227,CN-02679731,2023,include,,
20,39387327,2025,include,,need to reread methods
471,CN-02511816,2023,include,,
4,41540253,2026,exclude,No NMN/NR,
8,40943905,2025,exclude,No NMN/NR,
16,39816194,2025,exclude,No NMN/NR,
26,38811634,2024,exclude,No NMN/NR,
35,37271226,2023,exclude,No NMN/NR,
41,36740954,2023,exclude,No NMN/NR,
61,34180141,2021,exclude,No NMN/NR,
67,32758058,2020,exclude,No NMN/NR,
79,25352640,2015,exclude,No NMN/NR,
80,15203886,2004,exclude,No NMN/NR,
82,CN-02824486,2025,exclude,No NMN/NR,
83,CN-02867046,2025,exclude,No NMN/NR,
85,CN-02932080,2025,exclude,No NMN/NR,
88,CN-02456938,2022,exclude,No NMN/NR,
91,CN-02053033,2019,exclude,No NMN/NR,
92,CN-02307825,2021,exclude,No NMN/NR,
104,CN-02572259,2023,exclude,No NMN/NR,
105,CN-00359075,1997,exclude,No NMN/NR,
114,CN-02948220,2025,exclude,No NMN/NR,
120,CN-01004275,2012,exclude,No NMN/NR,straightforward
130,CN-02179127,2020,exclude,No NMN/NR,
134,CN-02885480,2025,exclude,No NMN/NR,
169,CN-02594401,2023,exclude,No NMN/NR,
186,CN-02181681,2020,exclude,No NMN/NR,
198,CN-02928861,2025,exclude,No NMN/NR,
200,CN-02572901,2022,exclude,No NMN/NR,
209,CN-02289611,2021,exclude,No NMN/NR,
214,CN-02536207,2023,exclude,No NMN/NR,
216,CN-01966277,2019,exclude,No NMN/NR,
237,CN-02366855,2021,exclude,No NMN/NR,
238,CN-00618650,2007,exclude,No NMN/NR,
335,CN-02632460,2023,exclude,No NMN/NR,straightforward
343,CN-01494715,2017,exclude,No NMN/NR,
357,CN-02945443,2025,exclude,No NMN/NR,
394,CN-01260124,2016,exclude,No NMN/NR,
409,CN-02476448,2022,exclude,No NMN/NR,
435,CN-02848008,2025,exclude,No NMN/NR,
436,CN-02612678,2023,exclude,No NMN/NR,
445,CN-02159110,2022,exclude,No NMN/NR,
518,CN-01918936,2018,exclude,No NMN/NR,
523,CN-01937237,2019,exclude,No NMN/NR,straightforward
661,CN-02759156,2024,exclude,No NMN/NR,straightforward
715,CN-01662321,2018,exclude,No NMN/NR,straightforward
814,CN-02410515,2022,exclude,No NMN/NR,
851,CN-02184687,2020,exclude,No NMN/NR,
856,40969372,2025,exclude,No NMN/NR,
860,39661983,2025,exclude,No NMN/NR,
864,37364580,2023,exclude,No NMN/NR,
882,32790648,2020,exclude,No NMN/NR,
888,29189123,2018,exclude,No NMN/NR,
941,WOS:000442974100019,2018,exclude,No NMN/NR,
954,WOS:001689847900001,2026,exclude,No NMN/NR,
962,WOS:A1993LP64900004,1993,exclude,No NMN/NR,
966,WOS:000080867600018,1999,exclude,No NMN/NR,straightforward
967,WOS:001684106600001,2026,exclude,No NMN/NR,
975,"Export Date: 03 March 2026; Cited By: 0; Correspondence Address: X.A. Cambronne; Department of Molecular Biosciences, The University of Texas at Austin, Austin, 78737, United States; email: lulu@austin.utexas.edu; CODEN: MOMEE",2025,exclude,No NMN/NR,straightforward
977,"Export Date: 03 March 2026; Cited By: 37; Correspondence Address: V. Sorrentino; Healthy Longevity Translational Research Programme, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore; email: vsorrent@nus.edu.sg",2025,include,,need to reread methods
980,"Export Date: 03 March 2026; Cited By: 4; Correspondence Address: R.H. Houtkooper; Laboratory Genetic Metabolic Diseases, Amsterdam UMC, University of Amsterdam, Amsterdam, Netherlands; email: r.h.houtkooper@amsterdamumc.nl",2025,exclude,No NMN/NR,
982,"Export Date: 03 March 2026; Cited By: 2; Correspondence Address: A.J. Clark; Pediatrics, Pediatric Nephrology and Children’s Medical Center Dallas, University of Texas Southwestern, Dallas, United States; email: Amanda.clark@utsouthwestern.edu; CODEN: PEDNE",2025,exclude,No NMN/NR,
997,"Export Date: 03 March 2026; Cited By: 1; Correspondence Address: S.B. Iloki-Assanga; Dept. of Chemical Biological Sciences, University of Sonora, Hermosillo, Mexico, Hemosillo, Sonora, 83000, Mexico; email: simon.iloki@unison.mx",2024,exclude,No NMN/NR,
