record_num,id,precursor,title,authors,year,journal,doi
4,41540253,both,The differential impact of three different NAD(+) boosters on circulatory NAD and  microbial metabolism in humans.,Christen S; Redeuil K; Goulet L...,2026,Nature metabolism,10.1038/s42255-025-01421-8
7,41162813,NMN,"Association between blood nicotinamide adenine dinucleotide levels and blood  laboratory parameters at baseline and after nicotinamide mononucleotide supplementation in middle-aged healthy individuals: post hoc analysis of a randomized, double-blinded, placebo-controlled clinical trial.",Kuerec AH; Wang W; Fokke KDM...,2025,GeroScience,10.1007/s11357-025-01968-0
8,40943905,NR,Next-Gen Neuroprotection in Glaucoma: Synergistic Molecules for Targeted Therapy.,Martucci A; Cesareo M; Pinazo-Duran MD...,2025,Journal of clinical medicine,10.3390/jcm14176145
9,40770531,NR,Nicotinamide riboside combined with exercise to treat hypertension in middle-aged  and older adults: a pilot randomized clinical trial.,Lin Y; Zeidan RS; Lapierre-Nguyen S...,2025,GeroScience,10.1007/s11357-025-01815-2
14,39847432,NR,A Pilot Trial of Nicotinamide Riboside and Coenzyme Q10 on Inflammation and  Oxidative Stress in CKD.,Ahmadi A; Valencia AP; Begue G...,2025,Clinical journal of the American Society of Nephrology : CJASN,10.2215/CJN.0000000624
15,39817194,NR,Cognitive and Alzheimer's disease biomarker effects of oral nicotinamide riboside  (NR) supplementation in older adults with subjective cognitive decline and mild cognitive impairment.,Wu CY; Kupferschmid AC; Chen L...,2025,"Alzheimer's & dementia (New York, N. Y.)",10.1002/trc2.70023
16,39816194,NR,"Multi-omics characterization of improved cognitive functions in Parkinson's  disease patients after the combined metabolic activator treatment: a randomized, double-blinded, placebo-controlled phase II trial.",Yulug B; Altay O; Li X...,2025,Brain communications,10.1093/braincomms/fcae478
18,39548320,NR,"Effect of nicotinamide riboside on airway inflammation in COPD: a randomized,  placebo-controlled trial.",Norheim KL; Ben Ezra M; Heckenbach I...,2024,Nature aging,10.1038/s43587-024-00758-1
20,39387327,NR,Feasibility of telehealth exercise and nicotinamide riboside supplementation in  survivors of childhood cancer at risk for diabetes: A pilot randomized controlled trial.,Bhandari R; Lukas K; Lee K...,2025,Pediatric blood & cancer,10.1002/pbc.31369
21,39228730,NR,Randomized Crossover Clinical Trial of Nicotinamide Riboside and Coenzyme Q10 on  Metabolic Health and Mitochondrial Bioenergetics in CKD.,Ahmadi A; Valencia AP; Begue G...,2024,medRxiv : the preprint server for health sciences,10.1101/2024.08.23.24312501
27,38789831,NMN,"Ingestion of beta-nicotinamide mononucleotide increased blood NAD levels, maintained  walking speed, and improved sleep quality in older adults in a double-blind randomized, placebo-controlled study.",Morifuji M; Higashi S; Ebihara S...,2024,GeroScience,10.1007/s11357-024-01204-1
28,38430946,NMN,Towards personalized nicotinamide mononucleotide (NMN) supplementation:  Nicotinamide adenine dinucleotide (NAD) concentration.,Kuerec AH; Wang W; Yi L...,2024,Mechanisms of ageing and development,10.1016/j.mad.2024.111917
30,38016950,NR,"NR-SAFE: a randomized, double-blind safety trial of high dose nicotinamide  riboside in Parkinson's disease.",Berven H; Kverneng S; Sheard E...,2023,Nature communications,10.1038/s41467-023-43514-6
31,37994989,NR,A randomized placebo-controlled trial of nicotinamide riboside in older adults  with mild cognitive impairment.,Orr ME; Kotkowski E; Ramirez P...,2024,GeroScience,10.1007/s11357-023-00999-9
33,37810917,NR,Effect of the Mediterranean diet supplemented with nicotinamide riboside and  pterostilbene and/or coconut oil on anthropometric variables in amyotrophic lateral sclerosis. A pilot study.,Carrera-Julia S; Estrela JM; Zacares M...,2023,Frontiers in nutrition,10.3389/fnut.2023.1232184
35,37271226,both,The acute effect of different NAD(+) precursors included in the combined  metabolic activators.,Li X; Yang H; Jin H...,2023,Free radical biology & medicine,10.1016/j.freeradbiomed.2023.05.032
36,37159264,NR,Randomized crossover clinical trial of coenzyme Q10 and nicotinamide riboside in  chronic kidney disease.,Ahmadi A; Begue G; Valencia AP...,2023,JCI insight,10.1172/jci.insight.167274
37,36936793,NR,Nicotinamide riboside supplementation is not associated with altered methylation  homeostasis in Parkinson's disease.,Gaare JJ; Dolle C; Brakedal B...,2023,iScience,10.1016/j.isci.2023.106278
38,36797393,NMN,"Nicotinamide adenine dinucleotide metabolism and arterial stiffness after  long-term nicotinamide mononucleotide supplementation: a randomized, double-blind, placebo-controlled trial.",Katayoshi T; Uehata S; Nakashima N...,2023,Scientific reports,10.1038/s41598-023-29787-3
41,36740954,NMN,Nicotinamide Adenine Dinucleotide Augmentation in Overweight or Obese Middle-Aged  and Older Adults: A Physiologic Study.,Pencina KM; Valderrabano R; Wipper B...,2023,The Journal of clinical endocrinology and metabolism,10.1210/clinem/dgad027
43,36515353,NR,Oral nicotinamide riboside raises NAD+ and lowers biomarkers of neurodegenerative  pathology in plasma extracellular vesicles enriched for neuronal origin.,Vreones M; Mustapic M; Moaddel R...,2023,Aging cell,10.1111/acel.13754
46,36082508,NR,"Nicotinamide riboside and pterostilbene reduces markers of hepatic inflammation  in NAFLD: A double-blind, placebo-controlled clinical trial.",Dellinger RW; Holmes HE; Hu-Seliger T...,2023,"Hepatology (Baltimore, Md.)",10.1002/hep.32778
48,35927255,NMN,Chronic nicotinamide mononucleotide supplementation elevates blood nicotinamide  adenine dinucleotide levels and alters muscle function in healthy older men.,Igarashi M; Nakagawa-Nagahama Y; Miura M...,2022,npj aging,10.1038/s41514-022-00084-z
53,35235774,NR,The NADPARK study: A randomized phase I trial of nicotinamide riboside  supplementation in Parkinson's disease.,Brakedal B; Dolle C; Riemer F...,2022,Cell metabolism,10.1016/j.cmet.2022.02.001
54,35182418,both,"MIB-626, an Oral Formulation of a Microcrystalline Unique Polymorph of  beta-Nicotinamide Mononucleotide, Increases Circulating Nicotinamide Adenine Dinucleotide and its Metabolome in Middle-Aged and Older Adults.",Pencina KM; Lavu S; Dos Santos M...,2023,"The journals of gerontology. Series A, Biological sciences and medical sciences",10.1093/gerona/glac049
55,35173682,both,NAD+-Increasing Strategies to Improve Cardiometabolic Health?,Blanco-Vaca F; Rotllan N; Canyelles M...,2021,Frontiers in endocrinology,10.3389/fendo.2021.815565
58,34326209,NMN,"Response to Comment on ""Nicotinamide mononucleotide increases muscle insulin  sensitivity in prediabetic women"".",Klein S; Yoshino M,2021,"Science (New York, N.Y.)",10.1126/science.abj7375
61,34180141,NR,Combined Metabolic Activators Accelerates Recovery in Mild-to-Moderate COVID-19.,Altay O; Arif M; Li X...,2021,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202101222
