record_num,pmid,title,year,include?,notes
4,41540253,The differential impact of three different NAD(+) boosters on circulatory NAD and  microbial metabolism in humans.,2026,Y,check dose
7,41162813,"Association between blood nicotinamide adenine dinucleotide levels and blood  laboratory parameters at baseline and after nicotinamide mononucleotide supplementation in middle-aged healthy individuals: post hoc analysis of a randomized, double-blinded, placebo-controlled clinical trial.",2025,Y,NR vs placebo
8,40943905,Next-Gen Neuroprotection in Glaucoma: Synergistic Molecules for Targeted Therapy.,2025,Y,parallel RCT
9,40770531,Nicotinamide riboside combined with exercise to treat hypertension in middle-aged  and older adults: a pilot randomized clinical trial.,2025,Y,check dose
14,39847432,A Pilot Trial of Nicotinamide Riboside and Coenzyme Q10 on Inflammation and  Oxidative Stress in CKD.,2025,Y,
15,39817194,Cognitive and Alzheimer's disease biomarker effects of oral nicotinamide riboside  (NR) supplementation in older adults with subjective cognitive decline and mild cognitive impairment.,2025,Y,
16,39816194,"Multi-omics characterization of improved cognitive functions in Parkinson's  disease patients after the combined metabolic activator treatment: a randomized, double-blinded, placebo-controlled phase II trial.",2025,Y,
18,39548320,"Effect of nicotinamide riboside on airway inflammation in COPD: a randomized,  placebo-controlled trial.",2024,Y,
20,39387327,Feasibility of telehealth exercise and nicotinamide riboside supplementation in  survivors of childhood cancer at risk for diabetes: A pilot randomized controlled trial.,2025,Y,
21,39228730,Randomized Crossover Clinical Trial of Nicotinamide Riboside and Coenzyme Q10 on  Metabolic Health and Mitochondrial Bioenergetics in CKD.,2024,Y,NR vs placebo
27,38789831,"Ingestion of beta-nicotinamide mononucleotide increased blood NAD levels, maintained  walking speed, and improved sleep quality in older adults in a double-blind randomized, placebo-controlled study.",2024,Y,NMN vs placebo
28,38430946,Towards personalized nicotinamide mononucleotide (NMN) supplementation:  Nicotinamide adenine dinucleotide (NAD) concentration.,2024,Y,
30,38016950,"NR-SAFE: a randomized, double-blind safety trial of high dose nicotinamide  riboside in Parkinson's disease.",2023,Y,
31,37994989,A randomized placebo-controlled trial of nicotinamide riboside in older adults  with mild cognitive impairment.,2024,Y,
33,37810917,Effect of the Mediterranean diet supplemented with nicotinamide riboside and  pterostilbene and/or coconut oil on anthropometric variables in amyotrophic lateral sclerosis. A pilot study.,2023,Y,NMN vs placebo
35,37271226,The acute effect of different NAD(+) precursors included in the combined  metabolic activators.,2023,Y,
36,37159264,Randomized crossover clinical trial of coenzyme Q10 and nicotinamide riboside in  chronic kidney disease.,2023,Y,NR vs placebo
37,36936793,Nicotinamide riboside supplementation is not associated with altered methylation  homeostasis in Parkinson's disease.,2023,Y,
38,36797393,"Nicotinamide adenine dinucleotide metabolism and arterial stiffness after  long-term nicotinamide mononucleotide supplementation: a randomized, double-blind, placebo-controlled trial.",2023,Y,NMN vs placebo
41,36740954,Nicotinamide Adenine Dinucleotide Augmentation in Overweight or Obese Middle-Aged  and Older Adults: A Physiologic Study.,2023,Y,NMN vs placebo
43,36515353,Oral nicotinamide riboside raises NAD+ and lowers biomarkers of neurodegenerative  pathology in plasma extracellular vesicles enriched for neuronal origin.,2023,Y,
46,36082508,"Nicotinamide riboside and pterostilbene reduces markers of hepatic inflammation  in NAFLD: A double-blind, placebo-controlled clinical trial.",2023,Y,
48,35927255,Chronic nicotinamide mononucleotide supplementation elevates blood nicotinamide  adenine dinucleotide levels and alters muscle function in healthy older men.,2022,Y,crossover design
53,35235774,The NADPARK study: A randomized phase I trial of nicotinamide riboside  supplementation in Parkinson's disease.,2022,Y,
