outcome,comparison,k_NMN,k_NR,MD_indirect,lower_CI,upper_CI,p_value,p_bonferroni,p_BH,note
ALT,NMN vs NR,3,2,2.1377071891515778,-3.8723413372047863,8.147755715507941,0.48570884684164506,1,0.7233981325147653,
AST,NMN vs NR,3,1,1.1079421158991165,-2.2215550008027236,4.437439232600957,0.5142588842579192,1,0.7233981325147653,
BMI,NMN vs NR,3,1,0.857392893588826,-1.9471376194128176,3.6619234065904696,0.5490358643300732,1,0.7233981325147653,
body_weight,NMN vs NR,3,1,0.9101380017228091,-4.378201647936409,6.198477651382028,0.7358745794709276,1,0.7358745794709276,
DBP,NMN vs NR,4,1,-3.345284029084805,-9.438101605357826,2.7475335471882163,0.2818623008962436,1,0.7059289411267948,
fasting_insulin,NMN vs NR,2,1,-2.873376069865418,-8.335858031157695,2.5891058914268594,0.30254097476862635,1,0.7059289411267948,
FBG,NMN vs NR,4,2,2.956633853595838,-2.370595252183834,8.28386295937551,0.27667988422208883,1,0.7059289411267948,
HbA1c,NMN vs NR,2,1,0.19216823636508926,-0.11354755865514646,0.497884031385325,0.2179394511511196,1,0.7059289411267948,
HDL,NMN vs NR,3,3,2.0432739067455734,-5.727700871322952,9.814248684814098,0.6063044189789144,1,0.7233981325147653,
HOMA-IR,NMN vs NR,1,1,-0.408,-1.4781893636997143,0.6621893636997145,0.45492338368536167,1,0.7233981325147653,
LDL,NMN vs NR,3,3,3.5423382246663104,-10.462059128810292,17.546735578142915,0.6200555421555131,1,0.7233981325147653,
NAD+,NMN vs NR,1,1,NA,NA,NA,NA,NA,NA,EXCLUDED: Unit incompatibility (pmol/mL vs µM)
SBP,NMN vs NR,4,1,-5.499203668675179,-14.463965368668052,3.465558031317695,0.22924272891306782,1,0.7059289411267948,
TC,NMN vs NR,2,3,3.7631299616897564,-13.795522657508286,21.3217825808878,0.6744396629527099,1,0.7263196370259952,
TG,NMN vs NR,4,3,-22.229861460390584,-60.5369262470319,16.077203326250736,0.25537031130610716,1,0.7059289411267948,
