outcome,precursor,comparison,k,method,MD_REML,lower_CI,upper_CI,p_value,I2,tau2,Q,Q_p
ALT,NMN,NMN vs Placebo,3,REML,-1.124657487337595,-5.096029431589631,2.846714456914442,0.578864220432494,65.33517539376119,7.852729163613258,5.856325685236646,0.05349522707462664
ALT,NR,NR vs Placebo,2,REML,-3.262364676489173,-7.773338869450834,1.248609516472488,0.15634901291065184,0,0,0.038686322967824406,0.844071395648973
AST,NMN,NMN vs Placebo,3,REML,-0.2920578841008835,-1.8532563069382468,1.2691405387364796,0.7138755519567335,7.843698154039257,0.16292915574521077,2.4450915650120724,0.29447953101309654
AST,NR,NR vs Placebo,1,single_study,-1.4,-4.340783999999999,1.540784,0.3507763357757154,NA,NA,NA,NA
BMI,NMN,NMN vs Placebo,3,REML,-0.04260710641117407,-1.293771315370679,1.2085571025483306,0.9467850663512323,0,0,0.41759011468917595,0.8115615421786622
BMI,NR,NR vs Placebo,1,single_study,-0.9,-3.409976,1.609976,0.4821831617562684,NA,NA,NA,NA
body_fat_pct,NR,NR vs Placebo,1,single_study,-1.33,-8.357776,5.697775999999999,0.7106910425177758,NA,NA,NA,NA
body_weight,NMN,NMN vs Placebo,3,REML,0.6101380017228092,-3.7980447469569456,5.018320750402564,0.7861762645624157,0,0,1.0259796142428566,0.5987028940805281
body_weight,NR,NR vs Placebo,1,single_study,-0.3,-3.2213799999999995,2.62138,0.8404837529236804,NA,NA,NA,NA
DBP,NMN,NMN vs Placebo,4,REML,-2.5452840290848053,-5.59647312675762,0.5059050685880093,0.10205105019700553,0,0,2.311255709704056,0.510368041986234
DBP,NR,NR vs Placebo,1,single_study,0.8,-4.473772,6.073772,0.7662219085935305,NA,NA,NA,NA
fasting_insulin,NMN,NMN vs Placebo,2,REML,-3.290976069865418,-8.27530529427461,1.6933531545437726,0.19563267471590198,0,0,0.5055565923594523,0.47706872575263504
fasting_insulin,NR,NR vs Placebo,1,single_study,-0.4176,-2.652588,1.817388,0.7142013552365079,NA,NA,NA,NA
fat_mass,NMN,NMN vs Placebo,1,single_study,-0.5,-3.4372559999999996,2.4372559999999996,0.7386476569681979,NA,NA,NA,NA
FBG,NMN,NMN vs Placebo,4,REML,0.37352695568364247,-3.1288229883471876,3.8758768997144726,0.8344241123517977,29.580263678506416,3.738802880240002,5.700392061223452,0.12713230773082218
FBG,NR,NR vs Placebo,2,REML,-2.5831068979121956,-6.597196435405515,1.4309826395811238,0.20721645117462836,0,0,0.45311320187565507,0.5008602401514783
FFM_pct,NR,NR vs Placebo,1,single_study,1.33,-5.697775999999999,8.357776,0.7106910425177758,NA,NA,NA,NA
HbA1c,NMN,NMN vs Placebo,2,REML,-0.007831763634910761,-0.13687962525553113,0.12121609798570962,0.9053166169255564,0,0,0.003917064771016228,0.9500958129333289
HbA1c,NR,NR vs Placebo,1,single_study,-0.2,-0.477144,0.07714399999999999,0.15723652108598002,NA,NA,NA,NA
HDL,NMN,NMN vs Placebo,3,REML,-0.1458405685155802,-5.729766636519232,5.438085499488071,0.9591739652173746,0,0,0.23313485716291985,0.8899700855330477
HDL,NR,NR vs Placebo,3,REML,-2.1891144752611535,-7.593540316037068,3.21531136551476,0.4272523726316594,0,0,0.23773895216535842,0.8879236884768282
HOMA-IR,NMN,NMN vs Placebo,1,single_study,-0.6,-1.4036,0.2036,0.14335395672082138,NA,NA,NA,NA
HOMA-IR,NR,NR vs Placebo,1,single_study,-0.192,-0.898776,0.5147759999999999,0.594417185774343,NA,NA,NA,NA
IL-6,NR,NR vs Placebo,1,single_study,-0.8,-1.917396,0.317396,0.16053855075760307,NA,NA,NA,NA
LDL,NMN,NMN vs Placebo,3,REML,-1.5247129943762001,-11.684381901275602,8.634955912523202,0.7686496070818957,0,0,0.2531940453651162,0.8810886598110146
LDL,NR,NR vs Placebo,3,REML,-5.0670512190425105,-14.705737485139359,4.571635047054337,0.30284488343239474,0,0,0.5832593306757566,0.7470451414619486
NAD+,NMN,NMN vs Placebo,1,single_study,0.93,-1.69346,3.5534600000000003,0.48717587187712075,NA,NA,NA,NA
NAD+,NR,NR vs Placebo,1,single_study,6.1,2.8644319999999994,9.335568,2.19732711905614e-4,NA,NA,NA,NA
SBP,NMN,NMN vs Placebo,4,REML,-3.499203668675179,-7.84677222335711,0.8483648860067525,0.11467926505646138,0,0,1.1168686248556388,0.7730035701979467
SBP,NR,NR vs Placebo,1,single_study,2,-5.84,9.84,0.6170750774519739,NA,NA,NA,NA
skeletal_muscle,NMN,NMN vs Placebo,1,single_study,-0.4,-2.8513719999999996,2.0513719999999998,0.7491041029534918,NA,NA,NA,NA
sleeping_metabolic_rate,NR,NR vs Placebo,1,single_study,0.19,-0.6555439999999999,1.035544,0.6596282219975464,NA,NA,NA,NA
TC,NMN,NMN vs Placebo,2,REML,-4.160283987715049,-17.026930537575524,8.706362562145426,0.5262556802112912,0,0,0.19281844262114695,0.6605811318559364
TC,NR,NR vs Placebo,3,REML,-7.9234139494048055,-19.871455142949205,4.0246272441395945,0.1936826663650266,0,0,1.2962218948305941,0.5230328807370567
TG,NMN,NMN vs Placebo,4,REML,-17.776215209823896,-36.5293631039832,0.9769326843354094,0.06318875978105094,0,0,0.3608241389425883,0.9482109246502785
TG,NR,NR vs Placebo,3,REML,4.453646250566688,-28.949207768629396,37.856500269762776,0.793842225472055,34.00407717120563,300.78247875360194,2.499823467217968,0.28653008672072366
