outcome,dropped_study,dropped_from,full_MD,full_lo,full_up,full_p,loo_MD,loo_lo,loo_up,loo_p,significance_change
ALT,Huang_2022,NMN arm,2.1294,-3.9010,8.1598,0.4889,2.3115,-5.8279,10.4510,0.5778,No
ALT,Katayoshi_2023,NMN arm,2.1294,-3.9010,8.1598,0.4889,3.3566,-2.7681,9.4814,0.2827,No
ALT,Morifuji_2024,NMN arm,2.1294,-3.9010,8.1598,0.4889,0.2271,-5.3400,5.7942,0.9363,No
ALT,Conze_2019,NR arm,2.1294,-3.9010,8.1598,0.4889,1.2670,-9.2312,11.7653,0.8130,No
ALT,Dollerup_2018,NR arm,2.1294,-3.9010,8.1598,0.4889,2.3670,-4.1116,8.8457,0.4739,No
AST,Huang_2022,NMN arm,1.0970,-2.2911,4.4850,0.5257,1.1607,-3.3161,5.6376,0.6113,No
AST,Katayoshi_2023,NMN arm,1.0970,-2.2911,4.4850,0.5257,1.4968,-1.9464,4.9399,0.3942,No
AST,Morifuji_2024,NMN arm,1.0970,-2.2911,4.4850,0.5257,0.3835,-3.0674,3.8344,0.8276,No
BMI,Katayoshi_2023,NMN arm,0.8574,-1.9471,3.6619,0.5490,0.6705,-2.2496,3.5905,0.6527,No
BMI,Morifuji_2024,NMN arm,0.8574,-1.9471,3.6619,0.5490,1.3310,-1.8218,4.4837,0.4080,No
BMI,Yoshino_2021,NMN arm,0.8574,-1.9471,3.6619,0.5490,0.7740,-2.0731,3.6211,0.5941,No
DBP,Huang_2022,NMN arm,-3.3453,-9.4381,2.7476,0.2819,-4.8644,-11.6803,1.9515,0.1619,No
DBP,Katayoshi_2023,NMN arm,-3.3453,-9.4381,2.7476,0.2819,-2.5278,-8.7229,3.6674,0.4239,No
DBP,Morifuji_2024,NMN arm,-3.3453,-9.4381,2.7476,0.2819,-3.4170,-10.0077,3.1737,0.3095,No
DBP,Yoshino_2021,NMN arm,-3.3453,-9.4381,2.7476,0.2819,-3.6068,-10.0028,2.7893,0.2690,No
FBG,Huang_2022,NMN arm,2.6074,-3.2556,8.4703,0.3834,3.7791,-0.9849,8.5430,0.1200,No
FBG,Katayoshi_2023,NMN arm,2.6074,-3.2556,8.4703,0.3834,1.6067,-7.4506,10.6640,0.7281,No
FBG,Morifuji_2024,NMN arm,2.6074,-3.2556,8.4703,0.3834,0.3199,-6.9861,7.6259,0.9316,No
FBG,Yoshino_2021,NMN arm,2.6074,-3.2556,8.4703,0.3834,2.2443,-4.5153,9.0038,0.5152,No
FBG,Dollerup_2018,NR arm,2.6074,-3.2556,8.4703,0.3834,0.7450,-7.2414,8.7313,0.8549,No
FBG,Remie_2020,NR arm,2.6074,-3.2556,8.4703,0.3834,3.6279,-2.9451,10.2008,0.2793,No
HDL,Katayoshi_2023,NMN arm,2.0433,-5.7278,9.8144,0.6063,2.2297,-6.1894,10.6489,0.6037,No
HDL,Morifuji_2024,NMN arm,2.0433,-5.7278,9.8144,0.6063,0.9884,-7.9460,9.9228,0.8283,No
HDL,Yoshino_2021,NMN arm,2.0433,-5.7278,9.8144,0.6063,2.8461,-6.0003,11.6925,0.5283,No
HDL,Conze_2019,NR arm,2.0433,-5.7278,9.8144,0.6063,1.9014,-7.6906,11.4934,0.6976,No
HDL,Dollerup_2018,NR arm,2.0433,-5.7278,9.8144,0.6063,1.4713,-6.9160,9.8586,0.7310,No
HDL,Remie_2020,NR arm,2.0433,-5.7278,9.8144,0.6063,2.6824,-5.6193,10.9841,0.5265,No
HbA1c,Morifuji_2024,NMN arm,0.1922,-0.1135,0.4979,0.2179,0.2000,-0.1919,0.5919,0.3172,No
