outcome,comparison,full_k,dropped_study,loo_k,full_MD,full_lo,full_up,full_p,full_I2,loo_MD,loo_lo,loo_up,loo_p,loo_I2,direction_change,significance_change
ALT,NMN vs Placebo,3,Huang_2022,2,-1.1330,-5.1349,2.8690,0.5790,65.8,-0.9508,-7.7259,5.8242,0.7833,76.1,No,No
ALT,NMN vs Placebo,3,Katayoshi_2023,2,-1.1330,-5.1349,2.8690,0.5790,65.8,0.0943,-4.0485,4.2370,0.9644,67.4,Yes,No
ALT,NMN vs Placebo,3,Morifuji_2024,2,-1.1330,-5.1349,2.8690,0.5790,65.8,-3.0353,-6.2976,0.2271,0.0682,0.0,No,No
ALT,NR vs Placebo,2,Conze_2019,1,-3.2624,-7.7734,1.2487,0.1563,0.0,-2.4000,-12.1055,7.3055,0.6279,0.0,No,No
ALT,NR vs Placebo,2,Dollerup_2018,1,-3.2624,-7.7734,1.2487,0.1563,0.0,-3.5000,-8.5948,1.5948,0.1782,0.0,No,No
AST,NMN vs Placebo,3,Huang_2022,2,-0.3030,-1.9856,1.3795,0.7241,18.2,-0.2393,-3.6147,3.1362,0.8895,54.0,No,No
AST,NMN vs Placebo,3,Katayoshi_2023,2,-0.3030,-1.9856,1.3795,0.7241,18.2,0.0968,-1.6941,1.8877,0.9157,18.7,Yes,No
AST,NMN vs Placebo,3,Morifuji_2024,2,-0.3030,-1.9856,1.3795,0.7241,18.2,-1.0165,-2.8222,0.7892,0.2699,0.0,No,No
BMI,NMN vs Placebo,3,Katayoshi_2023,2,-0.0426,-1.2938,1.2086,0.9468,0.0,-0.2295,-1.7217,1.2627,0.7630,0.0,No,No
BMI,NMN vs Placebo,3,Morifuji_2024,2,-0.0426,-1.2938,1.2086,0.9468,0.0,0.4310,-1.4769,2.3388,0.6579,0.0,Yes,No
BMI,NMN vs Placebo,3,Yoshino_2021,2,-0.0426,-1.2938,1.2086,0.9468,0.0,-0.1260,-1.4698,1.2179,0.8542,0.0,No,No
DBP,NMN vs Placebo,4,Huang_2022,3,-2.5453,-5.5965,0.5060,0.1021,0.0,-4.0644,-8.3822,0.2534,0.0650,0.0,No,No
DBP,NMN vs Placebo,4,Katayoshi_2023,3,-2.5453,-5.5965,0.5060,0.1021,0.0,-1.7278,-4.9785,1.5229,0.2975,0.0,No,No
