Study,Precursor,Outcome,N_treatment,N_control,Treatment_mean,Treatment_SD,Control_mean,Control_SD,MD,SE_MD,Unit,Design,Original_dispersion,Original_unit,Notes
Bandi 2025,NR,IL-6,34,34,4.3,2.3,5.1,2.4,-0.8,0.5701,pg/mL,Parallel RCT (4-arm),SD,pg/mL,NS vs placebo; sig within NR group
Bandi 2025,NR,NAD+,34,34,31.9,6.5,25.8,7.1,6.1,1.6508,uM,Parallel RCT (4-arm),SD,uM,
Conze 2019,NR,ALT,32,34,21.2,8.9,24.7,11.9,-3.5,2.5994,U/L,Parallel RCT (4-arm),SD,U/L,
Conze 2019,NR,AST,32,34,20.8,5.5,22.2,6.6,-1.4,1.5004,U/L,Parallel RCT (4-arm),SD,U/L,
Conze 2019,NR,HDL,32,34,54.9114,17.4015,57.2316,13.5345,-2.3202,3.8246,mg/dL,Parallel RCT (4-arm),SD,mmol/L,
Conze 2019,NR,LDL,32,34,121.8105,31.3227,130.3179,22.8153,-8.5074,6.7164,mg/dL,Parallel RCT (4-arm),SD,mmol/L,
Conze 2019,NR,TC,32,34,200.6973,35.5764,214.6185,29.7759,-13.9212,8.0574,mg/dL,Parallel RCT (4-arm),SD,mmol/L,NR 1000mg vs placebo
Conze 2019,NR,TG,32,34,122.2266,61.1133,138.1692,84.1415,-15.9426,18.1986,mg/dL,Parallel RCT (4-arm),SD,mmol/L,
Dollerup 2018,NR,ALT,20,20,29.6000,16.0997,32.0000,15.2053,-2.4000,4.9518,U/L,Parallel RCT,SEM,U/L,
Dollerup 2018,NR,BMI,20,20,32.4000,3.5777,33.3000,4.4721,-0.9000,1.2806,kg/m2,Parallel RCT,SEM,kg/m2,Baseline values; no post-treatment BMI in paper
Dollerup 2018,NR,FBG,20,20,100.9008,8.0579,104.5044,8.0579,-3.6036,2.5481,mg/dL,Parallel RCT,SEM,mmol/L,Need ×18.018 for mg/dL
Dollerup 2018,NR,HDL,20,20,46.4040,17.2937,50.2710,17.2937,-3.8670,5.4688,mg/dL,Parallel RCT,SEM,mmol/L,
Dollerup 2018,NR,HOMA-IR,20,20,2.3617,0.8944,2.5537,1.3416,-0.1920,0.3606,,Parallel RCT,SEM,,Derived from glucose×insulin/22.5
Dollerup 2018,NR,HbA1c,20,20,5.6000,0.4472,5.8000,0.4472,-0.2000,0.1414,%,Parallel RCT,SEM,%,From Table 3
Dollerup 2018,NR,LDL,20,20,127.6110,34.5875,127.6110,34.5875,0.0000,10.9375,mg/dL,Parallel RCT,SEM,mmol/L,
Dollerup 2018,NR,TC,20,20,204.9510,34.5875,204.9510,34.5875,0.0000,10.9375,mg/dL,Parallel RCT,SEM,mmol/L,
Dollerup 2018,NR,TG,20,20,159.4260,79.2194,132.8550,39.6097,26.5710,19.8049,mg/dL,Parallel RCT,SEM,mmol/L,TG sig increased in NR group
Dollerup 2018,NR,fasting_insulin,20,20,9.4888,3.6060,9.9064,3.6060,-0.4176,1.1403,uU/mL,Parallel RCT,SEM,pmol/L,Need /6.945 for uU/mL
Huang 2022,NMN,ALT,31,31,17.20,6.58,19.45,8.77,-2.25,1.9692,U/L,Parallel RCT,SD,U/L,CORRECTED: Paper Table 11 Day 60 values
Huang 2022,NMN,AST,31,31,18.31,4.09,18.97,4.11,-0.66,1.0414,U/L,Parallel RCT,SD,U/L,CORRECTED: Paper Table 11 Day 60 values
Huang 2022,NMN,DBP,31,31,76.81,8.30,77.84,9.01,-1.03,2.2002,mmHg,Parallel RCT,SD,mmHg,CORRECTED: Paper Table 5 Day 60 values
Huang 2022,NMN,FBG,31,31,91.53,21.41,108.48,47.12,-16.95,9.2957,mg/dL,Parallel RCT,SD,mg/dL,CORRECTED: Paper Table 7 Day 60 values
Huang 2022,NMN,HOMA-IR,31,31,1.79,0.94,2.39,2.08,-0.6,0.41,,Parallel RCT,SD,,CORRECTED: Paper Table 6 Day 60 endpoint values (not change-from-baseline). Baseline HOMA-IR was balanced between groups (1.78 vs 1.83; p = 0.85); endpoint comparison is therefore valid
Huang 2022,NMN,LDL,31,31,114.45,30.75,119.42,37.76,-4.97,8.7462,mg/dL,Parallel RCT,SD,mg/dL,CORRECTED: Paper Table 13 Day 60 values
Huang 2022,NMN,NAD+,31,31,9.07,5.65,8.14,4.86,0.93,1.3385,pmol/mL,Parallel RCT,SD,pmol/mL,CORRECTED: Paper Table 2 Day 60 blood cellular NAD+/NADH. Unit was pmol/mL not ng/mL. Between-group change from baseline p=0.40 (NS). INCOMPATIBLE UNIT with Bandi (uM)  -  cannot be pooled for indirect comparison
Huang 2022,NMN,SBP,31,31,124.19,12.03,126.26,13.51,-2.07,3.249,mmHg,Parallel RCT,SD,mmHg,CORRECTED: Paper Table 5 Day 60 values
Huang 2022,NMN,TC,31,31,172.86,31.89,179.79,39.40,-6.93,9.1039,mg/dL,Parallel RCT,SD,mg/dL,CORRECTED: Paper Table 13 Day 60 values
Huang 2022,NMN,TG,31,31,132.48,60.41,167.91,198.89,-35.43,37.3331,mg/dL,Parallel RCT,SD,mg/dL,CORRECTED: Paper Table 13 Day 60 values
Huang 2022,NMN,fasting_insulin,31,31,14.06,7.52,19.08,18.09,-5.02,3.5186,uU/mL,Parallel RCT,SD,uU/mL,CORRECTED: Paper Table 8 Day 60 values
Katayoshi 2023,NMN,ALT,17,17,17.4000,8.3000,22.4000,9.8000,-5.0000,3.1148,U/L,Parallel RCT,SD,U/L,
Katayoshi 2023,NMN,AST,17,17,20.8000,5.4000,23.1000,6.1000,-2.3000,1.9759,U/L,Parallel RCT,SD,U/L,
Katayoshi 2023,NMN,BMI,17,17,21.9000,4.3000,21.5000,2.2000,0.4000,1.1715,kg/m2,Parallel RCT,SD,kg/m2,
